                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0305,                 3.0903,                 1.4015,                0.55762,                0.60957,                0.62375,                0.43613,                 1.1127,                 1.5053,                 1.3479,              0.0033292,              0.0033292,              0.0033292
                      2,                0.94832,                 1.7054,                 1.2684,                0.56362,                 0.5766,                0.60666,                0.41599,                 1.1714,                 1.6193,                 1.4696,              0.0065966,              0.0065966,              0.0065966
                      3,                 1.0401,                 1.7329,                 1.3314,                0.53227,                0.56298,                0.59044,                0.36627,                   1.38,                 1.7291,                 1.7332,              0.0097979,              0.0097979,              0.0097979
                      4,                 1.1113,                 1.8305,                 1.3814,                 0.6056,                0.61839,                 0.6678,                0.43751,                 1.2621,                 1.3968,                 1.5111,               0.009703,               0.009703,               0.009703
                      5,                 1.0543,                 1.6085,                 1.3333,                0.72764,                0.71754,                0.79878,                0.56969,                 1.0691,                 1.0598,                 1.3784,               0.009703,               0.009703,               0.009703
                      6,                 1.0033,                 1.4348,                 1.2881,                0.69204,                0.79145,                0.83116,                0.59022,                 1.0961,                0.97844,                 1.3481,               0.009604,               0.009604,               0.009604
                      7,                0.96458,                 1.3074,                 1.2633,                0.79287,                0.81684,                0.86689,                0.63876,                   1.01,                0.85379,                 1.2971,               0.009505,               0.009505,               0.009505
                      8,                0.93587,                 1.2196,                 1.2405,                0.79998,                0.80875,                0.87033,                0.63399,                  1.014,                0.81264,                 1.2991,               0.009406,               0.009406,               0.009406
                      9,                0.91223,                 1.1401,                 1.2277,                0.81238,                0.80638,                0.88154,                0.66525,                0.94446,                0.82327,                 1.2505,               0.009307,               0.009307,               0.009307
                     10,                0.88154,                 1.0636,                 1.2045,                0.79155,                 0.8246,                0.86966,                0.64857,                0.98554,                0.83006,                 1.2594,               0.009208,               0.009208,               0.009208
                     11,                0.86291,                 1.0115,                 1.1913,                0.84675,                 0.8177,                0.88904,                0.66483,                0.98885,                0.74752,                 1.2542,               0.009109,               0.009109,               0.009109
                     12,                0.85524,                0.96788,                  1.189,                0.85046,                0.83983,                0.90533,                0.68079,                0.98798,                0.71665,                 1.2622,                0.00901,                0.00901,                0.00901
                     13,                0.83714,                0.93358,                 1.1743,                0.85013,                0.84808,                0.90792,                 0.6907,                0.95178,                0.69126,                 1.2414,               0.008911,               0.008911,               0.008911
                     14,                0.83287,                0.90492,                 1.1691,                0.88818,                0.82174,                0.91924,                 0.6957,                 0.9691,                0.65339,                 1.2348,               0.008812,               0.008812,               0.008812
                     15,                0.80745,                0.85291,                 1.1569,                 0.8955,                0.84299,                0.92424,                0.69916,                0.96798,                0.62922,                 1.2496,               0.008713,               0.008713,               0.008713
                     16,                0.80358,                0.84646,                 1.1522,                0.89077,                0.83751,                 0.9242,                0.70789,                0.93932,                0.64251,                 1.2234,               0.008614,               0.008614,               0.008614
                     17,                0.79046,                0.81643,                 1.1426,                0.87733,                0.87717,                0.92907,                0.71526,                  0.916,                0.60678,                 1.2141,               0.008515,               0.008515,               0.008515
                     18,                0.77542,                0.78815,                 1.1358,                0.90533,                0.82902,                0.92885,                0.70922,                0.95337,                0.62719,                 1.2393,               0.008416,               0.008416,               0.008416
                     19,                0.76249,                0.76369,                 1.1277,                0.84529,                0.87946,                0.92474,                0.70832,                0.94347,                0.61818,                 1.2376,               0.008317,               0.008317,               0.008317
                     20,                0.76165,                0.74401,                 1.1266,                 0.8781,                0.87449,                0.92737,                0.70878,                  0.941,                0.60333,                 1.2313,               0.008218,               0.008218,               0.008218
                     21,                0.74593,                0.72893,                 1.1187,                0.90177,                0.85333,                0.92197,                0.71935,                0.89628,                0.61183,                  1.204,               0.008119,               0.008119,               0.008119
                     22,                0.74112,                0.71391,                 1.1164,                0.91429,                 0.8617,                0.93208,                 0.7225,                0.90571,                0.58119,                 1.2179,                0.00802,                0.00802,                0.00802
                     23,                0.73494,                0.70887,                 1.1079,                0.84843,                0.90039,                0.93073,                0.72486,                 0.8962,                0.60097,                 1.1974,               0.007921,               0.007921,               0.007921
                     24,                0.72363,                0.68624,                 1.1038,                0.89812,                0.87323,                0.92476,                0.71572,                0.91493,                 0.6064,                 1.2103,               0.007822,               0.007822,               0.007822
                     25,                 0.7084,                0.67958,                 1.0981,                0.90045,                 0.8873,                0.92695,                0.73158,                0.87521,                0.57579,                 1.1878,               0.007723,               0.007723,               0.007723
                     26,                 0.7091,                0.67407,                 1.0984,                0.88629,                0.89799,                0.93518,                0.73871,                0.85109,                0.55792,                 1.1774,               0.007624,               0.007624,               0.007624
                     27,                0.70502,                0.65265,                 1.0943,                0.89907,                0.88363,                0.93892,                0.74185,                0.86798,                0.54665,                 1.1803,               0.007525,               0.007525,               0.007525
                     28,                0.69581,                 0.6386,                 1.0871,                0.92263,                0.87656,                0.93936,                0.75452,                0.83876,                0.54037,                   1.16,               0.007426,               0.007426,               0.007426
                     29,                0.68264,                0.61827,                 1.0808,                0.90428,                 0.8864,                0.93907,                0.74188,                0.85651,                0.53917,                 1.1837,               0.007327,               0.007327,               0.007327
                     30,                0.67589,                0.61526,                 1.0799,                0.89296,                0.88853,                0.94231,                0.74733,                 0.8692,                 0.5333,                 1.1894,               0.007228,               0.007228,               0.007228
                     31,                0.67177,                0.60398,                 1.0747,                0.91741,                0.89983,                0.94401,                0.74849,                0.86675,                0.51325,                 1.1828,               0.007129,               0.007129,               0.007129
                     32,                0.66826,                0.60126,                 1.0729,                0.88811,                0.91489,                0.94026,                0.75805,                 0.7969,                 0.5135,                  1.135,                0.00703,                0.00703,                0.00703
                     33,                0.66469,                0.60013,                 1.0729,                0.92609,                0.88698,                 0.9466,                 0.7687,                0.79134,                 0.4975,                 1.1345,               0.006931,               0.006931,               0.006931
                     34,                0.65523,                0.57397,                 1.0622,                0.89468,                 0.8939,                0.94262,                0.75885,                0.81491,                0.52701,                 1.1431,               0.006832,               0.006832,               0.006832
                     35,                0.64906,                0.57187,                 1.0609,                0.93291,                0.88261,                 0.9468,                0.76563,                0.79821,                0.49233,                 1.1458,               0.006733,               0.006733,               0.006733
                     36,                0.64354,                0.56841,                 1.0572,                0.92535,                0.90733,                0.95005,                0.76483,                0.80933,                0.48864,                  1.151,               0.006634,               0.006634,               0.006634
                     37,                0.63415,                0.55682,                 1.0549,                  0.924,                0.89815,                0.94812,                0.76728,                0.79729,                0.49438,                 1.1533,               0.006535,               0.006535,               0.006535
                     38,                0.63275,                0.55405,                 1.0564,                0.91393,                0.90713,                0.94878,                0.76592,                0.80542,                0.49261,                 1.1478,               0.006436,               0.006436,               0.006436
                     39,                 0.6253,                0.54313,                 1.0515,                0.90118,                0.91178,                 0.9503,                0.77155,                0.79361,                0.49548,                 1.1491,               0.006337,               0.006337,               0.006337
                     40,                0.62801,                0.54039,                 1.0519,                0.91647,                0.90538,                0.94401,                0.76499,                0.80649,                0.49627,                 1.1552,               0.006238,               0.006238,               0.006238
                     41,                0.61293,                0.52238,                 1.0428,                0.92356,                 0.9056,                0.94996,                0.76827,                0.79166,                0.48429,                 1.1469,               0.006139,               0.006139,               0.006139
                     42,                0.60121,                0.51257,                 1.0366,                0.92597,                0.89519,                0.94855,                0.77914,                0.75844,                0.46912,                 1.1192,                0.00604,                0.00604,                0.00604
                     43,                0.60263,                0.51397,                  1.041,                0.92553,                0.91165,                0.95149,                0.78075,                0.77168,                0.46309,                 1.1331,               0.005941,               0.005941,               0.005941
                     44,                0.60006,                0.50448,                 1.0371,                0.90503,                 0.9168,                0.94998,                0.77794,                0.76919,                0.46155,                 1.1362,               0.005842,               0.005842,               0.005842
                     45,                0.59432,                0.50608,                 1.0368,                0.93345,                0.90393,                0.95259,                0.78386,                0.74894,                0.45474,                 1.1268,               0.005743,               0.005743,               0.005743
                     46,                0.59096,                0.49204,                 1.0339,                0.92772,                0.89088,                0.94135,                0.77731,                0.74605,                0.48468,                 1.1263,               0.005644,               0.005644,               0.005644
                     47,                0.59001,                0.49305,                 1.0347,                 0.9245,                0.89853,                0.95047,                0.78327,                0.74492,                0.46685,                 1.1217,               0.005545,               0.005545,               0.005545
                     48,                0.58693,                0.48556,                 1.0319,                0.92222,                0.89983,                0.95424,                0.78985,                0.73886,                0.45153,                 1.1138,               0.005446,               0.005446,               0.005446
                     49,                0.57423,                0.47272,                 1.0285,                0.93819,                0.90574,                 0.9558,                0.79374,                0.72181,                0.43893,                 1.1035,               0.005347,               0.005347,               0.005347
                     50,                0.57022,                0.46273,                 1.0227,                0.91345,                0.91893,                0.95091,                0.79263,                0.71833,                0.45052,                 1.0962,               0.005248,               0.005248,               0.005248
                     51,                0.57128,                0.46595,                 1.0236,                0.92968,                0.90693,                0.95079,                0.79391,                0.72539,                0.44712,                 1.1019,               0.005149,               0.005149,               0.005149
                     52,                0.56521,                0.46088,                  1.022,                0.92946,                0.91652,                0.95433,                0.79766,                0.72472,                 0.4425,                 1.1026,                0.00505,                0.00505,                0.00505
                     53,                0.56087,                0.45514,                 1.0201,                0.92109,                 0.9233,                0.95572,                0.79858,                0.72252,                0.43973,                 1.1006,               0.004951,               0.004951,               0.004951
                     54,                0.55699,                0.45296,                 1.0153,                0.94811,                0.89351,                0.95282,                0.79995,                0.71387,                0.44083,                 1.0977,               0.004852,               0.004852,               0.004852
                     55,                0.55236,                0.44623,                  1.016,                0.92519,                0.92207,                0.95321,                0.79757,                0.71703,                0.43844,                 1.0989,               0.004753,               0.004753,               0.004753
                     56,                0.55437,                0.44527,                 1.0143,                0.92421,                0.90938,                0.95367,                0.79919,                0.71864,                0.44104,                 1.0987,               0.004654,               0.004654,               0.004654
                     57,                0.54564,                 0.4355,                 1.0134,                0.92823,                0.91667,                0.95433,                0.79852,                 0.7151,                0.43578,                 1.1004,               0.004555,               0.004555,               0.004555
                     58,                0.53778,                0.42649,                 1.0064,                 0.9382,                0.90296,                0.95158,                 0.7961,                0.71505,                 0.4421,                 1.1013,               0.004456,               0.004456,               0.004456
                     59,                0.53062,                0.42176,                  1.003,                0.92216,                0.92084,                0.95549,                0.79889,                0.70705,                0.43945,                 1.0978,               0.004357,               0.004357,               0.004357
                     60,                0.53067,                0.41713,                  1.005,                0.92651,                0.91619,                0.95561,                0.79997,                0.70585,                0.42999,                 1.0982,               0.004258,               0.004258,               0.004258
                     61,                0.52469,                0.41361,                 1.0001,                0.92607,                0.92113,                 0.9573,                 0.8012,                0.70803,                0.43336,                 1.1005,               0.004159,               0.004159,               0.004159
                     62,                0.52437,                0.40935,                 1.0004,                0.93586,                0.91115,                0.95673,                0.79835,                0.70686,                0.43203,                 1.0989,                0.00406,                0.00406,                0.00406
                     63,                 0.5199,                0.40542,                0.99833,                0.93105,                 0.9241,                0.95727,                 0.8001,                0.70817,                 0.4309,                 1.1029,               0.003961,               0.003961,               0.003961
                     64,                  0.516,                0.40343,                0.99545,                0.92517,                0.92186,                0.95543,                0.80004,                0.70158,                0.43115,                 1.0993,               0.003862,               0.003862,               0.003862
                     65,                0.51198,                0.39468,                0.99567,                0.93076,                0.91586,                0.95417,                0.79721,                0.70189,                0.42977,                 1.1013,               0.003763,               0.003763,               0.003763
                     66,                0.50665,                0.38834,                0.99283,                0.93122,                0.91914,                0.95484,                0.79936,                0.69873,                0.42425,                    1.1,               0.003664,               0.003664,               0.003664
                     67,                0.50867,                0.39012,                0.99523,                0.92033,                 0.9236,                0.95382,                 0.7989,                0.69472,                0.42745,                 1.0973,               0.003565,               0.003565,               0.003565
                     68,                0.49878,                0.38771,                0.99102,                0.92509,                0.92263,                0.95532,                0.80232,                0.69045,                0.42924,                 1.0938,               0.003466,               0.003466,               0.003466
                     69,                 0.4935,                0.37545,                0.98623,                0.93703,                0.90988,                0.95528,                 0.8019,                0.69141,                0.42851,                 1.0952,               0.003367,               0.003367,               0.003367
                     70,                0.49214,                0.36841,                0.98679,                0.94148,                0.90575,                0.95433,                0.80251,                0.68903,                0.42929,                 1.0939,               0.003268,               0.003268,               0.003268
                     71,                0.48961,                0.36703,                0.98404,                0.92976,                0.91744,                0.95443,                0.80279,                0.68671,                0.42634,                 1.0926,               0.003169,               0.003169,               0.003169
                     72,                0.48372,                0.36541,                 0.9822,                 0.9345,                0.91317,                0.95326,                 0.8022,                0.68418,                0.42881,                 1.0912,                0.00307,                0.00307,                0.00307
                     73,                0.48117,                0.36176,                0.97976,                0.94201,                 0.9097,                0.95331,                0.80293,                0.68183,                0.43004,                 1.0909,               0.002971,               0.002971,               0.002971
                     74,                0.47666,                 0.3564,                0.97935,                0.93682,                 0.9146,                0.95387,                0.80349,                0.68089,                0.43058,                 1.0919,               0.002872,               0.002872,               0.002872
                     75,                0.47173,                0.35193,                0.97624,                0.93578,                0.91546,                0.95339,                0.80427,                0.68002,                0.43215,                 1.0915,               0.002773,               0.002773,               0.002773
                     76,                0.46919,                0.35054,                0.97487,                0.93854,                0.90975,                0.95319,                0.80575,                0.67841,                0.42958,                 1.0904,               0.002674,               0.002674,               0.002674
                     77,                0.46807,                  0.345,                0.97419,                0.92874,                0.91882,                0.95321,                0.80569,                0.67797,                0.42817,                 1.0905,               0.002575,               0.002575,               0.002575
                     78,                0.46584,                 0.3451,                0.97631,                0.92314,                0.92489,                 0.9532,                0.80635,                0.67672,                0.42482,                 1.0897,               0.002476,               0.002476,               0.002476
                     79,                0.45653,                0.33535,                 0.9717,                0.92629,                0.92316,                0.95359,                0.80758,                0.67699,                0.42439,                 1.0907,               0.002377,               0.002377,               0.002377
                     80,                0.45591,                 0.3334,                0.96837,                0.92494,                0.92015,                0.95322,                0.80736,                  0.677,                0.42488,                 1.0913,               0.002278,               0.002278,               0.002278
                     81,                0.44979,                0.33066,                0.96848,                0.92627,                0.92071,                0.95336,                 0.8083,                 0.6769,                0.42577,                 1.0916,               0.002179,               0.002179,               0.002179
                     82,                0.44911,                0.32513,                0.96387,                 0.9252,                0.92163,                0.95334,                0.80706,                0.67526,                0.42335,                 1.0909,                0.00208,                0.00208,                0.00208
                     83,                0.44025,                0.31838,                0.96442,                0.92345,                0.92458,                0.95312,                0.80874,                0.67439,                 0.4197,                  1.091,               0.001981,               0.001981,               0.001981
                     84,                0.44064,                0.31563,                 0.9618,                0.92106,                 0.9275,                 0.9533,                0.80868,                0.67365,                0.41846,                 1.0916,               0.001882,               0.001882,               0.001882
                     85,                0.43472,                0.31527,                0.95967,                0.91935,                0.92932,                0.95288,                0.80865,                0.67297,                0.41846,                 1.0922,               0.001783,               0.001783,               0.001783
                     86,                0.42911,                0.30935,                 0.9574,                0.92235,                0.93051,                0.95296,                0.80881,                0.67273,                0.41893,                 1.0931,               0.001684,               0.001684,               0.001684
                     87,                0.42616,                0.31031,                0.95765,                0.92397,                0.92939,                0.95317,                0.80977,                0.67167,                0.41935,                 1.0933,               0.001585,               0.001585,               0.001585
                     88,                0.42506,                0.30235,                0.95441,                0.92328,                0.92937,                0.95315,                0.80955,                0.67061,                0.41976,                 1.0935,               0.001486,               0.001486,               0.001486
                     89,                0.41783,                0.29741,                0.95269,                0.93755,                0.91831,                0.95335,                 0.8096,                0.67053,                0.41957,                 1.0937,               0.001387,               0.001387,               0.001387
                     90,                0.41526,                0.29703,                0.95322,                 0.9245,                0.92947,                0.95306,                0.80948,                0.66999,                0.41885,                 1.0938,               0.001288,               0.001288,               0.001288
                     91,                0.31267,                 0.1602,                 0.8882,                 0.9251,                0.92978,                0.95287,                0.80905,                0.66938,                0.41919,                 1.0939,               0.001189,               0.001189,               0.001189
                     92,                0.30253,                0.15548,                0.88164,                0.92563,                0.93173,                0.95315,                0.80978,                0.66837,                0.41797,                 1.0935,                0.00109,                0.00109,                0.00109
                     93,                0.29636,                0.15174,                0.87909,                0.93759,                0.91901,                0.95286,                0.80995,                0.66719,                0.41729,                 1.0929,               0.000991,               0.000991,               0.000991
                     94,                0.28969,                0.14958,                0.87712,                0.93835,                0.91924,                0.95276,                0.81089,                0.66511,                0.41831,                 1.0916,               0.000892,               0.000892,               0.000892
                     95,                0.28539,                0.14607,                0.87259,                0.93956,                0.91865,                0.95305,                0.81172,                0.66439,                0.41759,                 1.0914,               0.000793,               0.000793,               0.000793
                     96,                0.28032,                0.14219,                0.87081,                 0.9404,                0.91842,                0.95346,                0.81264,                0.66318,                0.41697,                 1.0908,               0.000694,               0.000694,               0.000694
                     97,                0.27623,                 0.1401,                0.86878,                0.94026,                0.91883,                0.95319,                0.81302,                0.66184,                0.41581,                 1.0904,               0.000595,               0.000595,               0.000595
                     98,                0.27379,                0.13866,                 0.8653,                 0.9403,                0.91896,                0.95298,                0.81307,                0.66061,                0.41588,                 1.0901,               0.000496,               0.000496,               0.000496
                     99,                 0.2674,                0.13601,                0.86694,                0.93759,                0.92173,                0.95247,                0.81262,                 0.6598,                0.41588,                 1.0903,               0.000397,               0.000397,               0.000397
                    100,                0.26248,                0.13317,                0.86088,                0.94044,                0.91856,                0.95195,                0.81167,                0.65851,                0.41507,                 1.0898,               0.000298,               0.000298,               0.000298
